Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Midtrans,Chrome 91.0.4472.164,,,2021-07-23 21:23:03,2021-07-23 21:24:57,1m - 53.716s,FAILED
,,,,,,,
Test Cases/Midtrans001-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:23:04,2021-07-23 21:23:11,6.888s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-23 21:23:05,2021-07-23 21:23:08,3.806s,PASSED
maximizeWindow(),Chrome 91.0.4472.164,,,2021-07-23 21:23:08,2021-07-23 21:23:09,0.218s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:23:09,2021-07-23 21:23:11,2.196s,PASSED
,,,,,,,
Test Cases/Midtrans002-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:23:11,2021-07-23 21:23:14,3.601s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:23:11,2021-07-23 21:23:12,0.515s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:23:12,2021-07-23 21:23:12,0.056s,PASSED
"nama = verifyElementText(findTestObject(""txt-name""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:23:12,2021-07-23 21:23:13,0.634s,PASSED
"email = verifyElementText(findTestObject(""txt-email""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:23:13,2021-07-23 21:23:13,0.304s,PASSED
"phone = verifyElementText(findTestObject(""txt-phone""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:23:13,2021-07-23 21:23:13,0.313s,PASSED
"city = verifyElementText(findTestObject(""txt-city""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:23:13,2021-07-23 21:23:13,0.316s,PASSED
"alamat = getText(findTestObject(""txt-Address""))",Chrome 91.0.4472.164,,,2021-07-23 21:23:13,2021-07-23 21:23:14,0.538s,PASSED
"verifyElementText(findTestObject(""txt-postal-code""), """")",Chrome 91.0.4472.164,,,2021-07-23 21:23:14,2021-07-23 21:23:14,0.349s,PASSED
,,,,,,,
Test Cases/Midtrans003-Positive,Chrome 91.0.4472.164,,,2021-07-23 21:23:14,2021-07-23 21:23:24,9.282s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:23:15,2021-07-23 21:23:15,0.409s,PASSED
"switchToFrame(findTestObject(""iframe""), 5)",Chrome 91.0.4472.164,,,2021-07-23 21:23:15,2021-07-23 21:23:23,8.112s,PASSED
